date,O,H,L,C,V,NA
2024-06-28,3062.05,3162.0,3062.05,3130.8,14478668,0
2024-06-27,3027.5,3075.0,3012.0,3061.1,14191515,0
2024-06-26,2892.1,3037.95,2890.25,3028.05,11007441,0
2024-06-25,2886.0,2911.85,2882.0,2908.3,3522693,0
2024-06-24,2891.05,2899.0,2875.0,2882.95,4439193,0
2024-06-21,2947.25,2949.4,2881.15,2908.4,15585180,0
2024-06-20,2918.0,2965.7,2900.2,2947.4,8056888,0
2024-06-19,2975.0,2975.0,2912.0,2917.3,4362937,0
2024-06-18,2974.7,2974.8,2942.7,2962.05,3598383,0
2024-06-14,2940.0,2959.35,2914.45,2955.1,4078999,0
2024-06-13,2944.0,2944.5,2920.2,2930.5,4590580,0
2024-06-12,2915.0,2952.0,2910.35,2926.65,5040871,0
2024-06-11,2938.0,2947.35,2909.35,2913.35,5887451,0
2024-06-10,2939.9,2986.7,2936.15,2942.8,4625880,0
2024-06-07,2857.0,2944.0,2853.0,2939.9,9279348,0
2024-06-06,2870.0,2887.4,2842.7,2863.2,8927861,0
2024-06-05,2844.0,2862.3,2768.2,2841.5,8732445,0
2024-06-04,2996.1,2996.1,2718.6,2794.55,18354549,0
2024-06-03,2966.0,3029.0,2918.0,3020.65,10763971,0
2024-05-31,2862.6,2884.5,2844.5,2860.8,15534916,0
2024-05-30,2871.0,2880.8,2840.2,2849.7,6603429,0
2024-05-29,2893.0,2916.0,2876.9,2881.55,3691778,0
2024-05-28,2936.0,2957.0,2905.5,2912.4,3910081,0
2024-05-27,2960.45,2969.8,2923.1,2932.5,3314505,0
2024-05-24,2967.25,2977.0,2952.2,2960.5,3547388,0
2024-05-23,2917.1,2984.45,2910.0,2972.1,7304130,0
2024-05-22,2872.55,2937.55,2872.55,2921.3,5140802,0
2024-05-21,2851.2,2883.65,2851.2,2872.25,5588064,0
2024-05-18,2875.0,2879.0,2865.4,2869.65,213020,0
2024-05-17,2846.1,2874.4,2826.5,2871.4,5458238,0
2024-05-16,2837.1,2855.0,2796.05,2850.7,7355887,0
2024-05-15,2841.0,2859.95,2826.05,2832.55,2523267,0
2024-05-14,2801.95,2854.15,2800.05,2840.15,3594150,0
2024-05-13,2799.8,2813.95,2768.0,2805.4,4228310,0
2024-05-10,2793.5,2820.0,2776.15,2814.85,5252548,0
2024-05-09,2826.0,2847.5,2780.0,2788.25,5504806,0
2024-05-08,2795.0,2865.9,2795.0,2837.1,4719501,0
2024-05-07,2831.95,2841.5,2784.0,2802.95,7258736,0
2024-05-06,2871.0,2880.0,2836.0,2839.05,3697104,0
2024-05-03,2942.0,2949.9,2832.3,2868.0,8613479,0
2024-05-02,2944.0,2954.65,2928.25,2933.1,7256323,0
2024-04-30,2936.0,2966.15,2925.75,2934.0,5737131,0
2024-04-29,2900.0,2935.8,2900.0,2930.05,3623987,0
2024-04-26,2927.9,2930.0,2900.0,2905.1,4706924,0
2024-04-25,2885.0,2935.95,2883.0,2919.95,7971963,0
2024-04-24,2927.0,2937.1,2899.0,2900.35,5231388,0
2024-04-23,2958.0,2987.0,2911.1,2918.65,7302777,0
2024-04-22,2944.9,2965.65,2935.6,2959.7,5175181,0
2024-04-19,2913.55,2948.0,2886.05,2940.25,7870889,0
2024-04-18,2927.0,2972.0,2918.7,2928.65,9502846,0
2024-04-16,2906.7,2942.35,2901.85,2931.5,4683092,0
2024-04-15,2922.0,2964.25,2892.65,2929.65,6451031,0
2024-04-12,2951.75,2972.95,2926.15,2934.3,7775506,0
2024-04-10,2932.7,2974.0,2932.7,2959.15,4569165,0
2024-04-09,2978.0,2979.6,2925.0,2927.3,3535707,0
2024-04-08,2925.95,2981.95,2922.0,2971.95,4178559,0
2024-04-05,2921.75,2941.6,2912.0,2920.2,3721149,0
2024-04-04,2959.5,2959.5,2900.0,2925.85,7245136,0
2024-04-03,2964.15,2968.9,2937.8,2943.2,3504146,0
2024-04-02,2968.0,2988.0,2950.0,2973.9,4455083,0
2024-04-01,2984.95,2987.95,2965.0,2969.55,2506940,0
2024-03-28,2985.75,3011.9,2957.3,2971.7,10927182,0
2024-03-27,2896.0,3000.0,2894.0,2985.7,8163322,0
2024-03-26,2890.0,2904.8,2878.0,2883.15,5707953,0
2024-03-22,2899.95,2920.0,2894.7,2910.05,9763804,0
2024-03-21,2905.05,2915.8,2889.35,2901.95,6503468,0
2024-03-20,2855.9,2890.0,2848.05,2887.5,4244403,0
2024-03-19,2857.5,2875.2,2834.5,2850.5,4137882,0
2024-03-18,2840.0,2883.45,2833.05,2878.95,4584696,0
2024-03-15,2851.9,2866.45,2825.8,2836.45,9611909,0
2024-03-14,2879.4,2897.05,2851.0,2862.95,9285551,0
2024-03-13,2959.55,2966.2,2855.55,2864.35,6761067,0
2024-03-12,2933.2,2976.0,2930.05,2950.85,4716339,0
2024-03-11,2978.0,2978.0,2927.0,2933.2,5638565,0
2024-03-07,3005.95,3006.2,2951.1,2957.85,4157863,0
2024-03-06,2986.9,3018.0,2957.0,3006.0,3902838,0
2024-03-05,3011.55,3014.8,2972.1,3000.4,3553834,0
2024-03-04,2980.95,3024.9,2974.45,3014.8,5012210,0
2024-03-02,2984.0,3000.9,2976.0,2982.15,358150,0
2024-03-01,2927.0,3000.0,2925.0,2984.25,6066463,0
2024-02-29,2930.0,2957.95,2909.05,2921.6,11814488,0
2024-02-28,2966.0,2982.55,2900.35,2911.25,4323975,0
2024-02-27,2966.05,2999.9,2956.1,2971.3,5413022,0
2024-02-26,2987.1,2989.05,2965.0,2974.65,3756553,0
2024-02-23,2979.0,2995.1,2966.7,2987.25,7219292,0
2024-02-22,2936.3,2969.9,2916.0,2963.5,9246864,0
2024-02-21,2948.0,2977.05,2915.1,2935.4,6360146,0
2024-02-20,2950.05,2951.0,2923.6,2942.05,3558748,0
2024-02-19,2924.1,2959.0,2907.05,2948.0,3364914,0
2024-02-16,2952.95,2954.0,2917.1,2921.15,4883749,0
2024-02-15,2966.7,2969.45,2933.05,2941.2,5003391,0
2024-02-14,2915.0,2967.3,2915.0,2962.75,3558944,0
2024-02-13,2911.0,2958.0,2908.0,2930.2,3857797,0
2024-02-12,2921.5,2922.0,2884.7,2904.7,3337215,0
2024-02-09,2908.0,2943.95,2901.9,2921.5,6278399,0
2024-02-08,2900.0,2918.95,2855.05,2900.25,7347317,0
2024-02-07,2871.85,2899.0,2858.5,2884.3,4648284,0
2024-02-06,2883.7,2883.7,2839.65,2855.6,4523992,0
2024-02-05,2921.5,2941.0,2863.05,2878.05,4407216,0
2024-02-02,2866.35,2949.8,2866.35,2915.4,9826294,0
2024-02-01,2870.0,2886.7,2836.1,2853.3,6674681,0
2024-01-31,2808.0,2868.5,2805.0,2853.25,7565113,0
2024-01-30,2919.9,2919.95,2808.85,2815.25,7046989,0
2024-01-29,2729.0,2905.0,2720.35,2896.1,11946719,0
2024-01-25,2685.9,2728.3,2670.4,2706.15,5904436,0
2024-01-24,2670.45,2699.0,2647.85,2687.75,10959564,0
2024-01-23,2743.5,2743.5,2645.1,2657.15,10027710,0
2024-01-20,2730.0,2766.95,2700.0,2713.3,3641697,0
2024-01-19,2752.0,2752.0,2718.0,2734.9,5211352,0
2024-01-18,2702.8,2742.0,2702.5,2735.9,5139719,0
2024-01-17,2719.0,2772.55,2710.05,2723.15,6098691,0
2024-01-16,2779.95,2792.6,2741.0,2749.25,4534512,0
2024-01-15,2750.0,2792.9,2732.0,2788.25,4305297,0
