symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
RELIANCE.NS,3032.5,0.631,6521850,20518592475000,10.0,2220.3-3217.6,13.25,Reliance Industries Limited,INR,,INE002A01018,Y72596102,National Stock Exchange of India,NSE,Oil & Gas Refining & Marketing,https://www.ril.com,"Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, textile, retail, digital, and financial services businesses worldwide. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, Sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, polyester yarn, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online, pharmacy, and grocery stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. As of March 31, 2021, it operated 12,711 retail stores. Further, it provides range of digital services under the Jio brand name; and non-banking financial and insurance broking services. Further, it operates news and entertainment platforms, finance portals, fashion and lifestyle portals, and online ticket booking platforms, as well as Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was incorporated in 1973 and is based in Mumbai, India.",Mr. Mukesh Dhirubhai Ambani,Energy,IN,347362,91 22 3555 5000,Maker Chambers IV,Mumbai,,400021,5241.00948,-2208.5094800962465,https://financialmodelingprep.com/image-stock/RELIANCE.NS.png,1996-01-01,False,False,True,False,False
TCS.NS,4521.05,0.531,2631619,16357565794500,56.0,3311.0-4592.25,-32.7002,Tata Consultancy Services Limited,INR,,INE467B01029,Y85279100,National Stock Exchange of India,NSE,Information Technology Services,https://www.tcs.com,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; Life Sciences and Healthcare; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, a smart city solution; OPTUMERA, a merchandise optimization platform; TwinX, an AI powered system of actionable intelligence for business leaders to simulate and optimize enterprise decisions; TCS BaNCS, a financial platform; and Jile, an agile DevOps platform. In addition, it offers drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics and insights, automation and artificial intelligence, Internet of Things, cloud, blockchain, cyber security, interactive, digital and quality engineering, sustainability, and enterprise application services. It serves banking, financial, and public services; capital market; consumer goods and distribution; education; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.","Mr. K.  Krithivasan B.E, M.Tech.",Technology,IN,601546,91 22 6778 9595,TCS House,Mumbai,,400001,-3695.96892,8217.01891927949,https://financialmodelingprep.com/image-stock/TCS.NS.png,2002-08-12,False,False,True,False,False
HDFCBANK.NS,1626.95,0.834,25019457,12396350291000,19.5,1363.55-1794.0,-9.9501,HDFC Bank Limited,INR,,INE040A01034,,National Stock Exchange of India,NSE,Banks - Regional,https://www.hdfcbank.com,"HDFC Bank Limited provides various banking and financial services to individuals and businesses in India, Bahrain, Hong Kong, and Dubai. It operates in Treasury, Retail Banking, Wholesale Banking, Other Banking Business, and Unallocated segments. The company accepts savings, salary, current, rural, public provident fund, pension, and Demat accounts; fixed and recurring deposits; and safe deposit lockers; as well as offshore accounts and deposits, overdrafts against fixed deposits, and sweep-in facilities. It also provides personal, home, car, two wheeler, business, educational, gold, consumer, and rural loans; loans against properties, securities, rental receivables, and assets; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital and commercial/construction equipment finance, healthcare/medical equipment and commercial vehicle finance, dealer finance, and term and professional loans. The company offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; insurance and investment products. It provides short term finance, bill discounting, structured finance, export credit, loan syndication, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers. As of March 31, 2022, the company had 21,683 banking outlets; 6,342 branches; and 18,130 automated teller machines in 3,188 cities/towns. HDFC Bank Limited was incorporated in 1994 and is based in Mumbai, India.",Mr. Sashidhar  Jagdishan,Financial Services,IN,213527,91 22 6652 1000,HDFC Bank House,Mumbai,,400013,453.52868,1058.1713219035155,https://financialmodelingprep.com/image-stock/HDFCBANK.NS.png,1996-01-01,False,False,True,False,False
BHARTIARTL.NS,1571.35,0.251,8014671,9556720099673,8.0,858.4-1608.4,-17.7001,Bharti Airtel Limited,INR,,INE397D01024,Y0885K108,National Stock Exchange of India,NSE,Telecommunications Services,https://www.airtel.in,"Bharti Airtel Limited operates as a telecommunications company in Asia and Africa. It operates through Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company's product offerings include 2G, 3G, and 4G wireless services, as well as mobile commerce, fixed line services, high speed home broadband, DTH, and enterprise services, including national and international long distance services to carriers. It also provides voice, data, video, network integration, data center, and managed services, as well as enterprise mobility applications; on-demand entertainment and streaming services, such as music and video; digital payments and financial services; and cloud and data center, cybersecurity, IoT, Ad Tech, and cloud based communication products. In addition, the company operates a submarine cable system; and provides telecom towers and related infrastructure for various mobile operators. As of August 5, 2021, it had approximately 474 million customers across its operations. Bharti Airtel Limited has collaboration with Qualcomm Technologies, Inc. for accelerating 5G; partnership with Google Cloud and Cisco to launch Airtel Office Internet, a unified enterprise grade solution; and a strategic partnership with Tata Consultancy Services Limited for implementing 5G network solutions for India. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was incorporated in 1995 and is headquartered in New Delhi, India.",Mr. Gopal  Vittal,Communication Services,IN,24137,91 11 4666 6100,Bharti Crescent,New Delhi,,110070,-1674.35854,3245.70854110744,https://financialmodelingprep.com/image-stock/BHARTIARTL.NS.png,2002-07-01,False,False,True,False,False
ICICIBANK.NS,1229.95,0.855,16719352,8662341058000,10.0,899.0-1257.8,0.75,ICICI Bank Limited,INR,,INE090A01021,Y3860Z132,National Stock Exchange of India,NSE,Banks - Regional,https://www.icicibank.com,"ICICI Bank Limited provides various banking products and financial services in India and internationally. It operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life insurance, General insurance, and Others segments. The company offers savings, salary, pension, current, and other accounts; and time, fixed, recurring, and security deposits. It also provides home, car, two-wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, including working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and overdraft facilities, as well as loans for new entities, card swipes, and schools and colleges; and credit, debit, prepaid, travel, and corporate cards. In addition, the company offers insurance products; pockets wallet; fixed income products; investment products, such as mutual funds, gold monetization schemes, initial public offerings, and other online investment services; and agri and rural business, farmer finance, tractor loans, and micro banking services, as well as other services to agri corporates. Further, it provides portfolio management, trade, foreign exchange, locker, private and NRI banking, and cash management services; family wealth and demat accounts; commercial and investment banking, capital market, custodial, project and technology finance, and institutional banking services, as well as Internet, mobile, and phone banking services. Additionally, the company offers securities investment, broking, trading, and underwriting services; and merchant banking, trusteeship, housing finance, pension fund management, asset management, investment advisory, points of presence, and private equity/venture capital fund management services. As of March 31, 2022, it had a network of 5,418 branches and 13,626 ATMs. ICICI Bank Limited was founded in 1955 and is headquartered in Mumbai, India.",Mr. Sandeep  Bakhshi B.E.,Financial Services,IN,187765,91 22 2653 1414,ICICI Bank Towers,Mumbai,,400051,-611.30242,1719.2024175885747,https://financialmodelingprep.com/image-stock/ICICIBANK.NS.png,2002-07-01,False,False,True,False,False
INFY.NS,1964.5,0.584,7972972,8156820093036,20.0,1351.65-1975.75,20.8,Infosys Limited,INR,,INE009A01021,Y4082C133,National Stock Exchange of India,NSE,Information Technology Services,https://www.infosys.com,"Infosys Limited, together with its subsidiaries, provides consulting, technology, outsourcing, and next-generation digital services in North America, Europe, India, and internationally. It provides application development and management, independent validation, product engineering and management, infrastructure management, enterprise application management, and support and integration services. The company's products and platforms include Finacle, a core banking solution; Edge suite of products; Infosys Nia, an artificial intelligence platform; Infosys McCamish - an insurance platform; Wingspan, a customizable learning platform; Stater mortgage servicing platform; Panaya automation suite; and Skava, an e-commerce suite. The company serves clients in the financial services and insurance, life sciences and healthcare, manufacturing, retail, consumer packaged goods and logistics, hi-tech, communications, telecom OEM, media, energy, utilities, resources, services, and other industries. It has collaboration agreements with Rolls-Royce, BP plc, Newmont Corporation, RXR Realty, Majesco Limited, and Centre for Accessibility Australia; and a strategic partnership with The Economist Group Limited to enable and enhance sustainability solutions through a business-to-business model. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",Mr. Salil Satish Parekh,Technology,IN,315332,91 80 2852 0261,Plot no. 44/97 A,Bengaluru,,560100,-1115.93216,3080.432155646639,https://financialmodelingprep.com/image-stock/INFY.NS.png,1996-01-01,False,False,True,False,False
SBIN.NS,822.15,0.888,19478208,7337368111500,13.7,543.2-912.0,6.55,State Bank of India,INR,,INE062A01020,Y8155P103,National Stock Exchange of India,NSE,Banks - Regional,https://www.sbi.co.in,"State Bank of India provides banking products and services to individuals, commercial enterprises, corporates, public bodies, and institutional customers in India and internationally. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, Insurance Business, and Other Banking Business segments. It offers personal banking products and services, including current accounts, savings accounts, salary accounts, fixed and recurring deposits, and flexi and annual deposits; home, personal, auto, education, and gold loans, as well as loans against property and securities; overdrafts; mutual funds, insurance, equity trading, portfolio investment schemes, remittance services; and mobile and digital banking services. The company also provides corporate banking products and services comprising corporate accounts, working capital and project finance, deferred payment guarantees, corporate term loans, structured finance, dealer and channel financing, equipment leasing, loan syndication, construction equipment loans, financing Indian firms' overseas subsidiaries or JVs, cash management, and asset-backed loans, as well as trade and service products. In addition, it offers NRI services, including accounts and deposits, remittances, investments, and loans; agricultural banking and micro-credit to agriculturists and farmers; supply chain finance, and deposits and transaction banking services for SME customers; and international banking services. Further, the company provides treasury, broking, bill payment, and MICR services; and merchant banking, advisory, securities broking, business & management consultancy, trustee business, factoring, payment, asset management, investment management, credit cards, and custody and fund accounting services. It also offers support and business correspondent services. As of March 31, 2022, the company operated 22,266 branches and 65,030 ATMs. State Bank of India was founded in 1806 and is headquartered in Mumbai, India.",Mr. Challa Sreenivasulu Setty,Financial Services,IN,232296,91 22 2274 0841,State Bank Bhavan,Mumbai,,400021,-457.96084,1280.1108400673609,https://financialmodelingprep.com/image-stock/SBIN.NS.png,1996-01-01,False,False,True,False,False
LICI.NS,1058.6,0.576,3847035,6695642459360,13.0,597.35-1222.0,-5.65,Life Insurance Corporation of India,INR,,INE0J1Y01017,,National Stock Exchange of India,NSE,Insurance - Life,https://www.licindia.in,"Life Insurance Corporation of India provides life insurance products in India, Fiji, Mauritius, and the United Kingdom. It provides individual products, including participating insurance products; and non-participating products comprising savings insurance, term insurance, health insurance, annuity and pension, and unit-linked insurance products; special products for women and children, micro insurance products; and riders, an add-on covers to the base policy to facilitate additional benefits linked to the accident, critical illness, and death and premium waiver benefit. The company also offers group products, such as group term insurance, group savings insurance, group savings pension, and group annuity products. Life Insurance Corporation of India was incorporated in 1956 and is based in Mumbai, India.",Mr. Siddhartha  Mohanty,Financial Services,IN,98661,91 22 6827 6827,Yogakshema Building,Mumbai,,400021,-1425.42081,2484.0208132791918,https://financialmodelingprep.com/image-stock/LICI.NS.png,2022-05-17,False,False,True,False,False
HINDUNILVR.NS,2789.05,0.083,2276564,6553123989500,42.0,2172.05-2834.95,11.05,Hindustan Unilever Limited,INR,,INE030A01027,Y3222L102,National Stock Exchange of India,NSE,Household & Personal Products,https://www.hul.co.in,"Hindustan Unilever Limited, a consumer goods company that manufactures and sells home and personal care, food, and refreshment products in India and internationally. The company operates through Home Care, Beauty & Personal Care, Foods & Refreshment, and Others segments. The Home Care segment offers detergent bars and powders, detergent liquids, scourers, water business, purifiers business, etc. The Beauty & Personal Care segment provides oral, skin, and hair care products, as well as soaps, deodorants, talcum powder, color cosmetics, salon services, etc. The Foods & Refreshment segment provides culinary products, such as tomato based products, fruit based products, soups, etc., as well as tea, coffee, health food drinks, ice-creams, and frozen desserts. The Others segment engages in export and consignment sales activities. The company also engages in the beauty salons, job work, discharge trust, and real estate businesses. The company was founded in 1888 and is headquartered in Mumbai, India. Hindustan Unilever Limited operates as a subsidiary of Unilever Plc.",Mr. Rohit  Jawa,Consumer Defensive,IN,19427,91 22 5043 3000,Unilever House,Mumbai,,400099,-5338.9242,8087.174203764367,https://financialmodelingprep.com/image-stock/HINDUNILVR.NS.png,1996-01-01,False,False,True,False,False
ITC.NS,510.05,0.216,16384524,6378430275000,15.0,399.35-512.9,8.15,ITC Limited,INR,,INE154A01025,Y4211T171,National Stock Exchange of India,NSE,Tobacco,https://www.itcportal.com,"ITC Limited engages in the fast-moving consumer goods, hotels, paperboards and paper, packaging, agri, and information technology (IT) businesses in India and internationally. It primarily offers cigarettes and cigars; staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy, ready to eat meals, chocolate, coffee, and frozen foods; personal care products; notebooks, pens and pencils, geometry boxes, erasers, sharpeners, rulers, wax and plastic crayons, sketch pens, and oil pastels; apparel, safety matches; and incense sticks under various brands. The company also operates approximately 113 hotels under the ITC Hotel, WelcomHotel, Fortune, and WelcomHeritage brands; and Kaya Kalp spas. In addition, it offers virgin, recycled, barrier coated, biodegradable barrier, and graphic boards, as well as specialty papers; and packaging products, such as carton board, flexible, tobacco, and green packaging products; and exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices. Further, the company offers information technology services for the banking, financial services, consumer goods, manufacturing, travel, hospitality, and healthcare industries. Additionally, it provides property infrastructure and estate maintenance; engineering, procurement, and construction management services; project management consultancy services; business consulting, real estate development, and agro-forestry and other related services; manages and operates golf courses; fabricates and assembles machinery for tube filling; cartooning and wrapping services; conveyor solutions; and produces and commercializes seed potato technology products The company was incorporated in 1910 and is headquartered in Kolkata, India.",Mr. Sanjiv  Puri,Consumer Defensive,IN,37312,91 33 2288 9371,Virginia House,Kolkata,,700071,-848.24099,1358.2909944980988,https://financialmodelingprep.com/image-stock/ITC.NS.png,1996-01-01,False,False,True,False,False
